annee,part_ve_nationale,nb_points_recharge
2015,0.012981195785326177,91723
2016,0.015620881219195266,133490
2017,0.016483148777829294,179076
2018,0.01699421998707775,239361
2019,0.023418624070605007,311814
2020,0.08511853171367159,540993
2021,0.13714596394243594,888772
2022,0.20564670924142747,1265149
2023,0.23756717360620924,1834023
