annee,part_ve_nationale
2010,5.522825181270888e-06
2011,0.00021085238905716838
2012,0.0021762912220173133
2013,0.004351667945269432
2014,0.004746578294883786
2015,0.012981195785326177
2016,0.015620881219195266
2017,0.016483148777829294
2018,0.01699421998707775
2019,0.023418624070605007
2020,0.08511853171367159
2021,0.13714596394243594
2022,0.20564670924142747
2023,0.23756717360620924
